date,price
2018-08-20,218
2018-08-21,216
2018-08-22,214
2018-08-23,214
2018-08-24,216
2018-08-27,217
2018-08-28,219
2018-08-29,220
2018-08-30,223
2018-08-31,226
2018-09-04,228
2018-09-05,228
2018-09-06,226
2018-09-07,221
2018-09-10,220
2018-09-11,218
2018-09-12,224
2018-09-13,223
2018-09-14,225
2018-09-17,222
2018-09-18,217
2018-09-19,218
2018-09-20,220
2018-09-21,220
2018-09-24,216
2018-09-25,219
2018-09-26,221
2018-09-27,223
2018-09-28,224
2018-10-01,227
2018-10-02,227
2018-10-03,230
2018-10-04,230
2018-10-05,227
2018-10-08,222
2018-10-09,223
2018-10-10,225
2018-10-11,214
2018-10-12,220
2018-10-15,221
2018-10-16,218
2018-10-17,222
2018-10-18,217
2018-10-19,218
2018-10-22,219
2018-10-23,215
2018-10-24,222
2018-10-25,217
2018-10-26,215
2018-10-29,219
2018-10-30,211
2018-10-31,216
2018-11-01,219
2018-11-02,209
2018-11-05,204
2018-11-06,201
2018-11-07,205
2018-11-08,209
